map	width	height	cells	scen-count	cost-sum	cost-max	cost-std	max-dist	gen-count	gen-mean	gen-std	gen-95-interval-min	gen-95-interval-max	gen-interval-percent
AR0011SR	512	512	120458	2000	93523682.0	107286.0	26936.514769021604	885.033621334	50000	14891.13786	18172.8030448617	14731.847552146157	15050.428167853845	0.008765313059334711
AR0012SR	512	512	78614	2000	46982324.0	49557.0	13376.351805247796	571.41125497	50000	7328.86904	8477.378281641646	7254.562165439006	7403.175914560993	0.008765313059334654
AR0013SR	512	512	69830	2000	28277011.0	35627.0	8095.874639529057	518.114790413	50000	4348.68336	4879.111509943087	4305.916420163946	4391.450299836054	0.008765313059334623
AR0014SR	512	512	71961	2000	33554868.0	49181.0	9834.051971371924	548.01428535	50000	4742.2451	5365.086357335359	4695.21843848759	4789.27176151241	0.008765313059334708
AR0015SR	512	512	82380	2000	40163001.0	50530.0	11594.568024855422	555.991990773	50000	3343.43586	5503.226477121041	3295.1983570916145	3391.6733629083856	0.008765313059334694
AR0016SR	512	512	72793	2000	31669478.0	46554.0	9463.221661510364	541.327993849	50000	4063.61686	4982.881291090903	4019.9403455460865	4107.293374453913	0.008765313059334595
AR0017SR	512	512	83163	2000	43314240.0	56911.0	12877.012912457609	570.345237792	50000	6121.95614	7869.576197159304	6052.976840987611	6190.93543901239	0.008765313059334664
AR0018SR	512	512	78165	2000	62468517.0	63668.0	17357.846307496726	587.504617358	50000	4576.1178	9210.285355177828	4495.38676549606	4656.8488345039395	0.008765313059334721
AR0020SR	512	512	77902	2000	18635398.0	31133.0	5572.763589853691	518.518902708	50000	1227.15906	2700.5982888759886	1203.4874705504983	1250.8306494495016	0.008765313059334702
AR0041SR	512	512	93629	2000	12352672.0	59525.0	10199.574046748423	639.200143575	50000	430.48476	2405.640378636787	409.39856897307214	451.57095102692784	0.008765313059334678
AR0042SR	512	512	146967	2000	10003250.0	54079.0	6837.697934785873	628.099638512	50000	409.69918	1697.1525246150763	394.82310681230865	424.5752531876914	0.008765313059334687
AR0043SR	512	512	124494	2000	12067866.0	55502.0	5695.548579418053	574.068109219	50000	455.67672	1666.4577648683573	441.0696959907697	470.2837440092303	0.008765313059334692
AR0044SR	512	512	231469	2000	14295882.0	53872.0	7325.923318498427	630.141269072	50000	622.9601	2094.2186241813415	604.6036181443613	641.3165818556387	0.0087653130593347
AR0045SR	512	512	101984	2000	39867811.0	72618.0	15371.081462362034	633.565583902	50000	1409.94894	5357.298677319837	1362.990539940932	1456.907340059068	0.008765313059334688
AR0046SR	512	512	113205	2000	32774932.0	58502.0	10548.22635218092	671.709811567	50000	1464.59728	4351.265504937224	1426.4570756449411	1502.7374843550588	0.008765313059334692
AR0070SR	512	512	72672	2000	60981180.0	61239.0	17599.028786353527	1098.88852712	50000	20759.49744	19277.346783524787	20590.525460489047	20928.46941951095	0.00876531305933463
AR0071SR	512	512	64872	2000	54381894.0	56835.0	15633.191574121742	743.518902708	50000	13007.10576	12941.581730699492	12893.668744647453	13120.542775352547	0.008765313059334647
AR0072SR	512	512	59071	2000	46180638.0	47847.0	13292.656662730706	828.168614282	50000	10097.3453	12688.3903164786	9986.127586657036	10208.563013342966	0.008765313059334635
AR0201SR	512	512	17587	2000	11839224.0	13466.0	3457.9431290083417	621.364573775	50000	2209.8863	2762.2717715989334	2185.6741231669725	2234.0984768330277	0.008765313059334643
AR0202SR	512	512	50514	2000	46195167.0	46226.0	13326.301488223495	1371.95959493	50000	16581.95578	14190.521821542172	16457.571413758862	16706.34014624114	0.008765313059334739
AR0203SR	512	512	93697	2000	33951600.0	44180.0	9655.886789207918	571.955410847	50000	1966.19912	4882.120401304255	1923.4058062892036	2008.9924337107964	0.008765313059334664
AR0204SR	512	512	54545	2000	47076707.0	45831.0	13427.906310498958	881.317892581	50000	10630.88292	12263.945702350948	10523.385596576212	10738.380243423788	0.008765313059334645
AR0205SR	512	512	66753	2000	48570538.0	49119.0	13865.233908003102	761.075251894	50000	8773.57158	10223.793685766372	8683.956827690208	8863.186332309791	0.008765313059334695
AR0206SR	512	512	54268	2000	30407521.0	33184.0	8519.57239450078	494.700576851	50000	3129.55466	5015.906284233417	3085.5886711424096	3173.52064885759	0.008765313059334711
AR0300SR	512	512	68964	2000	52777783.0	59605.0	15435.32672870023	783.643794389	50000	10005.43162	10466.992766479023	9913.685151612019	10097.17808838798	0.008765313059334728
AR0301SR	512	512	66252	2000	42404975.0	49021.0	12481.88568209322	618.75440072	50000	5425.77244	7118.2393679291545	5363.37884350882	5488.1660364911795	0.008765313059334697
AR0302SR	512	512	69370	2000	33845032.0	50939.0	9922.962985607877	538.587878479	50000	4774.9631	5894.26226779725	4723.298045968933	4826.6281540310665	0.008765313059334628
AR0303SR	512	512	73651	2000	33976780.0	43659.0	10108.032494847848	535.132034356	50000	4162.0358	5491.124089473699	4113.904378308109	4210.1672216918905	0.008765313059334642
AR0304SR	512	512	66081	2000	36287282.0	39880.0	10355.559081001807	537.428498912	50000	6392.69744	6889.113748030109	6332.31220129715	6453.08267870285	0.008765313059334633
AR0305SR	512	512	66255	2000	39883276.0	40055.0	11221.519664954298	562.002092041	50000	5713.9716	7198.26908397244	5650.876517993651	5777.066682006349	0.00876531305933472
