map	width	height	cells	scen-count	cost-sum	cost-max	cost-std	max-dist	gen-count	gen-mean	gen-std	gen-95-interval-min	gen-95-interval-max	gen-interval-percent
AR0011SR	216	224	22216	2000	17664701.0	20194.0	5084.753108426185	379.232539419	50000	2803.88382	3384.800990800228	2774.2149796720896	2833.5526603279104	0.008765313059334739
AR0012SR	148	139	6176	2000	3831145.0	3902.0	1092.0983773194382	166.580735804	50000	626.22718	699.7607726425136	620.0935577611464	632.3608022388536	0.008765313059334756
AR0013SR	148	144	5672	2000	2510110.0	3186.0	717.30495953604	154.852813742	50000	415.0587	431.4250161665523	411.27712467167163	418.84027532832835	0.008765313059334685
AR0014SR	148	144	5852	2000	2868422.0	4061.0	839.5849471488874	156.267027305	50000	435.67182	460.397058068237	431.63629565443523	439.7073443455648	0.008765313059334702
AR0015SR	88	86	2377	2000	1153366.0	1409.0	337.5792610795278	94.7817459305	50000	124.6432	167.1534154415039	123.17804798471819	126.1083520152818	0.008765313059334638
AR0016SR	88	86	2103	2000	986290.0	1449.0	291.93009432910475	93.3259018078	50000	151.54022	158.73187072025453	150.14888546064313	152.93155453935688	0.008765313059334711
AR0017SR	88	86	2401	2000	1397130.0	1738.0	417.9918596994444	99.3553390593	50000	218.35456	258.79731066455537	216.08612055311127	220.6229994468887	0.008765313059334676
AR0018SR	100	96	2861	2000	2370835.0	2376.0	654.352600815302	114.183766184	50000	200.4944	350.0352169834344	197.42623174134806	203.56256825865196	0.008765313059334695
AR0020SR	80	80	1900	2000	479214.0	947.0	163.16140950298265	84.124891681	50000	52.75758	74.10767661007596	52.108003014412745	53.40715698558725	0.008765313059334713
AR0021SR	60	64	946	2000	777285.0	852.0	222.17391992254625	71.1126983722	50000	100.43764	133.71509515096042	99.26558533024311	101.60969466975689	0.008765313059334654
AR0022SR	64	64	1163	2000	608429.0	792.0	186.44252596913077	65.8700576851	50000	91.25396	106.46291328119105	90.32077923588157	92.18714076411844	0.008765313059334616
AR0041SR	80	80	2282	2000	357061.0	1511.0	261.9483328249104	97.1959594929	50000	35.42304	63.92603630101275	34.86270827917923	35.98337172082077	0.00876531305933468
AR0042SR	80	80	3584	2000	275073.0	1278.0	177.04905158670013	98.6812408671	50000	36.75708	46.6459060355097	36.34821403066245	37.16594596933756	0.00876531305933475
AR0043SR	80	80	3036	2000	343431.0	1408.0	167.67638641069885	91.7401153702	50000	36.6113	49.251507716109565	36.179595116224064	37.043004883775936	0.008765313059334638
AR0044SR	80	80	5638	2000	384668.0	1446.0	194.39324176524244	100.752308679	50000	46.84332	56.7086033276927	46.346251338675145	47.34038866132485	0.008765313059334649
AR0045SR	80	80	2486	2000	1032988.0	1875.0	387.87319057135153	100.39696962	50000	59.46334	135.88573941383402	58.27225895373857	60.65442104626143	0.008765313059334695
