map	width	height	cells	scen-count	cost-sum	cost-max	cost-std	max-dist	gen-count	gen-mean	gen-std	gen-95-interval-min	gen-95-interval-max	gen-interval-percent
ca_cave	183	277	7088	2000	4691547.0	4637.0	1310.9303277435265	242.722871427	50000	614.8884	868.2363319658075	607.2780367408313	622.4987632591688	0.00876531305933465
ca_cavern1_haunted	324	597	18174	2000	16535138.0	16630.0	4801.278878198912	890.251875403	50000	5606.0374	4523.2799329691325	5566.3894353325195	5645.685364667481	0.008765313059334643
ca_caverns1	324	596	18340	2000	16920331.0	16730.0	4905.477773480352	901.49451609	50000	5665.37316	4544.637131977824	5625.537992797138	5705.208327202862	0.00876531305933458
ca_caverns1_mines	324	597	18172	2000	16775272.0	16584.0	4831.302606389295	886.766594029	50000	5673.83192	4531.187820383207	5634.114640223696	5713.549199776303	0.0087653130593347
ca_caverns2	389	467	13714	2000	11620214.0	12501.0	3402.1558101519986	599.132034356	50000	3154.97898	2684.9608735060106	3131.444457391655	3178.513502608345	0.008765313059334728
ca_caverns2prc	389	467	12856	2000	11690816.0	12122.0	3371.061399994963	668.102597104	50000	3050.48382	2700.665344417595	3026.811642787684	3074.155997212316	0.00876531305933463
dr_0_deeproads	560	733	46767	2000	43675794.0	43588.0	12658.259054956608	1490.96255352	50000	16135.69344	13278.835582222599	16019.300289058385	16252.086590941613	0.00876531305933472
dr_dungeon	314	261	17295	2000	10154115.0	12245.0	2953.6085462013666	385.036579926	50000	2176.9631	2085.0786679591706	2158.6867327219975	2195.2394672780024	0.008765313059334572
dr_primevalentrance	315	221	7097	2000	6285292.0	6455.0	1806.8031303061216	372.409162928	50000	1327.15308	1428.0885482793124	1314.635436797881	1339.670723202119	0.00876531305933468
dr_primevaltomb	722	657	19559	2000	18585644.0	18319.0	5341.863177423772	973.090403796	50000	5475.88516	4971.1538301094415	5432.31144041298	5519.4588795870195	0.008765313059334638
dr_slavers	315	260	17339	2000	10103765.0	12151.0	2952.793344393364	388.450793489	50000	2149.35672	2042.859296092328	2131.4504187335788	2167.2630212664217	0.008765313059334737
ht_0_hightown	514	514	40077	2000	23016010.0	27876.0	6581.204479118925	590.504617358	50000	5470.94036	5005.940926831146	5427.0617206197885	5514.818999380211	0.0087653130593347
ht_0_hightown_a2	514	514	40082	2000	22597571.0	28528.0	6541.72802434416	566.587878479	50000	5468.27658	5010.939253349965	5424.354128723078	5512.199031276921	0.008765313059334735
ht_0_hightown_a3	514	514	40127	2000	22745924.0	26800.0	6583.427757297562	580.475180106	50000	5480.16962	5016.082484298783	5436.2020866936755	5524.137153306324	0.008765313059334702
ht_0_hightown_n	514	514	40187	2000	22755761.0	27453.0	6539.110695822464	585.989898732	50000	5442.85344	4986.074056533875	5399.148939957454	5486.557940042546	0.008765313059334635
ht_bartrand_n	133	270	8793	2000	6774302.0	7139.0	1882.8688481142278	234.48023074	50000	1143.4059	1114.2763404224243	1133.6389190415875	1153.1728809584124	0.008765313059334772
ht_brothel_n	133	270	7041	2000	5246758.0	5599.0	1504.8524739518489	221.166522241	50000	1056.81108	1013.5948216665441	1047.926604072772	1065.6955559272278	0.00876531305933478
ht_chantry	162	141	7461	2000	5223419.0	5961.0	1505.9537878400351	199.597979746	50000	1183.38784	1106.3169224504045	1173.6906258318827	1193.0850541681175	0.008765313059334603
ht_chantry_n	162	141	7408	2000	5098911.0	5832.0	1472.813681705785	195.798989873	50000	1181.67926	1095.9109496787833	1172.0732574409128	1191.2852625590874	0.008765313059334671
ht_keep	281	357	13848	2000	8712256.0	8815.0	2483.588798415712	326.13708499	50000	1552.68948	1755.8728403780638	1537.298704861703	1568.080255138297	0.008765313059334687
ht_keep_n	281	357	13845	2000	8498529.0	8685.0	2425.701597999999	325.095454429	50000	1545.4377	1740.68603517082	1530.1800419637157	1560.6953580362842	0.008765313059334673
ht_mansion2	358	308	17420	2000	14980555.0	16009.0	4276.7653042332995	425.161471607	50000	3067.09744	2823.0266632438043	3042.352727521819	3091.842152478181	0.008765313059334742
ht_mansion2b	358	308	19279	2000	16019379.0	17104.0	4572.152017714388	417.965512115	50000	3448.14314	2999.784811690822	3421.8490870148926	3474.4371929851077	0.008765313059334735
ht_mansion_n	133	270	8959	2000	6916989.0	7349.0	1942.8623764872668	239.208152802	50000	1152.27866	1146.5066750824456	1142.2291700682854	1162.3281499317145	0.008765313059334695
ht_playershouse_n	185	68	3017	2000	2336828.0	2507.0	669.9616918929022	157.639610307	50000	537.06242	496.1097109347323	532.7138630718811	541.4109769281189	0.008765313059334576
ht_store	37	37	490	2000	70036.0	170.0	39.16449509440917	35.627416998	50000	17.96318	16.619488087411117	17.81750498402796	18.108855015972043	0.008765313059334699
lt_0_lowtown	514	514	25259	2000	15068907.0	18524.0	4437.815541326357	516.53405461	50000	3412.75508	2977.3101270130046	3386.6580246620033	3438.8521353379965	0.008765313059334721
lt_0_lowtown_a2	514	514	25316	2000	15312873.0	18756.0	4508.207633857135	501.119841047	50000	3464.68932	3053.1838990597894	3437.9272072970207	3491.451432702979	0.008765313059334718
lt_0_lowtown_a2_n	514	514	25503	2000	15332285.0	18635.0	4501.562775880589	512.190908859	50000	3458.07056	3053.6208481639114	3431.304617301332	3484.836502698668	0.008765313059334725
lt_0_lowtown_a2_n_c	514	514	31456	2000	19486874.0	22524.0	5595.02195804726	545.220346111	50000	4573.93348	3885.0135752266156	4539.880119773374	4607.986840226626	0.008765313059334574
lt_0_lowtown_a3_n_c	514	514	31342	2000	19648850.0	22416.0	5616.543105627785	530.634559673	50000	4551.2462	3855.72011900573	4517.449606087739	4585.04279391226	0.00876531305933471
lt_0_lowtown_docks	514	386	21446	2000	12218937.0	12158.0	3465.4590267391345	419.433549546	50000	2717.71696	2506.9504461333813	2695.7427545154023	2739.691165484598	0.008765313059334692
lt_0_lowtown_docks_a3	514	386	18793	2000	11993157.0	12705.0	3406.6997451841494	419.521861301	50000	2219.22968	2282.0262932506057	2199.227005130025	2239.2323548699746	0.008765313059334714
lt_0_lowtown_docks_a3_n	514	386	18793	2000	11957753.0	12793.0	3409.2948057109625	423.391918986	50000	2208.84774	2269.4319677833246	2188.9554583355175	2228.740021664483	0.008765313059334626
