map	width	height	cells	scen-count	cost-sum	cost-max	cost-std	max-dist	gen-count	gen-mean	gen-std	gen-95-interval-min	gen-95-interval-max	gen-interval-percent
scene_mp_2p_01	1800	1912	2217759	2000	1100829202.0	1845096.0	341865.2016426574	2489.99112422	50000	90193.3117	154551.43493065803	88838.6199890634	91548.00341093661	0.008765313059334636
scene_mp_2p_02	2672	2456	3436541	2000	1125412355.0	1885920.0	344837.77049042203	2870.32748623	50000	134309.56256	179324.0920190835	132737.7307543718	135881.3943656282	0.008765313059334647
scene_mp_2p_03	3184	3120	3794591	2000	1179135733.0	2182758.0	414451.0930422161	3310.01969492	50000	115961.04636	175664.2848342662	114421.2939100835	117500.79880991648	0.008765313059334714
scene_mp_2p_04	2200	2744	3351598	2000	1593501020.0	2047955.0	458668.5575042537	3533.76190233	50000	271838.44634	287671.5146598057	269316.91545575386	274359.9772242462	0.008765313059334626
scene_mp_4p_01	2936	3344	4788932	2000	2007188493.0	3492159.0	606087.3629723052	3501.81067557	50000	238973.94308	317568.7408014013	236190.353649017	241757.532510983	0.008765313059334713
scene_mp_4p_02	3680	4952	7033418	2000	2007025786.0	3338100.0	618705.8332657593	4826.07892836	50000	267408.13012	336674.27656332543	264457.0746868974	270359.1855531026	0.00876531305933474
scene_mp_4p_03	3728	3728	6297149	2000	3990994831.0	5229828.0	1148518.2276087184	5578.15382132	50000	763860.43864	752517.0954891338	757264.3907155364	770456.4865644635	0.008765313059334697
scene_mp_6p_01	4376	5104	7747925	2000	3156113251.0	5250748.0	936891.2228154335	4418.66139727	50000	323480.1179	452501.19398675644	319513.80327498337	327446.43252501666	0.00876531305933467
scene_mp_6p_02	3824	4136	8779957	2000	3476104936.0	5808140.0	1145667.8000881935	4415.1428535	50000	286975.49652	477936.972258432	282786.22933552426	291164.7637044757	0.008765313059334716
scene_mp_6p_03	4544	4224	9767035	2000	3290391806.0	6379518.0	999436.857415438	5112.78123832	50000	412927.04766	499338.94026623346	408550.18552585004	417303.9097941499	0.008765313059334645
scene_sp_cha_01	2744	2712	2946271	2000	1031029016.0	1503148.0	316205.53216869076	2722.10591463	50000	74273.28486	143298.83117006056	73017.22574375768	75529.34397624232	0.008765313059334647
scene_sp_cha_02	2920	4872	11470933	2000	9450609505.0	11067636.0	2769201.9967326433	6814.15923089	50000	734551.53352	1367709.6617212375	722563.1301607366	746539.9368792635	0.008765313059334721
scene_sp_cha_03	3640	3784	6892462	2000	5331998969.0	5446943.0	1508059.026782954	7327.31529293	50000	618623.04112	944697.6148596217	610342.4707793486	626903.6114606513	0.008765313059334631
scene_sp_cha_04	4032	3880	8038559	2000	4513439729.0	6825529.0	1487656.766931993	5751.98852457	50000	510453.45222	662289.4309882525	504648.27802149934	516258.6264185006	0.00876531305933464
scene_sp_endmaps	4760	6400	24548064	2000	12967746149.0	17441298.0	3806540.3316927995	8321.53008079	50000	1276737.73882	1866871.2332258776	1260374.028019309	1293101.4496206911	0.00876531305933469
scene_sp_pol_01	3736	3608	4385560	2000	430717638.0	1580901.0	146251.0259958584	2974.5201282	50000	29997.06292	65158.126330634776	29425.93154435231	30568.194295647692	0.008765313059334683
scene_sp_pol_02	4624	4904	6686816	2000	3637597606.0	4602041.0	1046255.3705216615	6761.0991309	50000	672030.32834	765584.3461673779	665319.7418725169	678740.9148074831	0.00876531305933463
scene_sp_pol_03	3968	4672	8127212	2000	2987401512.0	4416354.0	864777.2870598305	5250.29840792	50000	499030.83022	553717.7101618653	494177.32114393334	503884.33929606667	0.008765313059334628
scene_sp_pol_04	3144	3064	4708113	2000	1494658215.0	2272167.0	445892.9666652009	3362.0810204	50000	195571.76154	237813.6011916088	193487.25087578778	197656.27220421223	0.008765313059334716
scene_sp_pol_05	4584	4176	5426297	2000	4011992165.0	4582994.0	1177158.2885897332	7202.95107809	50000	769193.46316	842110.652704809	761812.0996584417	776574.8266615584	0.00876531305933468
scene_sp_pol_06	4192	4328	9939841	2000	3655486009.0	4859083.0	1054832.2399924053	5186.09530575	50000	554234.1889	586228.5973265268	549095.7117200983	559372.6660799016	0.008765313059334711
scene_sp_rus_01	3544	3696	5920694	2000	2540576969.0	2829292.0	732958.2429691228	5783.92965006	50000	319904.69446	477967.55464798067	315715.15921130584	324094.2297086942	0.008765313059334633
scene_sp_rus_02	4560	3992	3138439	2000	1778213950.0	1788447.0	502737.06255445734	4532.98729908	50000	249173.1103	346792.7767593398	246133.36304498842	252212.85755501158	0.008765313059334682
scene_sp_rus_03	3928	3736	4507029	2000	3941478670.0	3913913.0	1121261.8413511924	7348.35396489	50000	835343.95762	834631.956593797	828028.1472311304	842659.7680088696	0.00876531305933461
scene_sp_rus_04	4040	4648	6716803	2000	3033628277.0	5145521.0	918094.4694786732	4612.75598515	50000	340128.74128	456227.6269955256	336129.76330306684	344127.7192569332	0.008765313059334742
scene_sp_rus_05	3832	3856	5412165	2000	3078057564.0	4141658.0	900182.733127602	4331.31825152	50000	450215.77934	496013.48911492963	445868.0658262548	454563.49285374524	0.00876531305933463
scene_sp_rus_06	4880	4440	7124112	2000	4331814107.0	6522064.0	1305679.291186081	6621.57517756	50000	667358.68416	696281.4870085462	661255.558948951	673461.8093710489	0.00876531305933469
scene_sp_rus_07	4648	4344	5894899	2000	3071103662.0	3807611.0	882716.6395799206	5625.67185747	50000	557020.17286	710496.9472231219	550792.4446898878	563247.9010301123	0.008765313059334662
scene_sp_sax_01	3376	4224	5158835	2000	2757112105.0	3273316.0	778521.8423108004	5567.14581209	50000	363800.67858	458839.37176998524	359778.80784248764	367822.54931751237	0.00876531305933466
scene_sp_sax_02	3904	6208	7583158	2000	3229229340.0	5853395.0	1026404.2910333335	5894.5305884	50000	355276.6108	480898.9835821063	351061.38065898704	359491.840941013	0.008765313059334633
scene_sp_sax_03	4680	5080	10336220	2000	3936182937.0	4300465.0	1113538.6293505565	6391.69241895	50000	571853.23038	735799.5435153298	565403.7170321726	578302.7437278273	0.008765313059334609
scene_sp_sax_04	5728	6336	9202405	2000	7438514129.0	7717740.0	2080141.221211515	9680.56074353	50000	1107365.81038	1225368.2683480664	1096625.0738949543	1118106.5468650456	0.008765313059334687
scene_sp_sax_05	3800	3544	5776504	2000	3126080508.0	4622056.0	945213.9171774978	6003.98260738	50000	509945.85022	550169.9580793993	505123.43830159307	514768.262138407	0.008765313059334652
scene_sp_sax_06	3664	4104	6567522	2000	2956883177.0	5015199.0	933972.7805942924	5404.75006796	50000	353104.64564	454914.78403532057	349117.1751426108	357092.1161373892	0.008765313059334673
