map	width	height	cells	scen-count	cost-sum	cost-max	cost-std	max-dist	gen-count	gen-mean	gen-std	gen-95-interval-min	gen-95-interval-max	gen-interval-percent
maze512-1-0	512	512	131071	2000	131594737.0	130807.0	38127.96280514746	5867.0	50000	54179.30604	36100.684811031766	53862.872235974944	54495.73984402506	0.008765313059334591
maze512-1-1	512	512	131071	2000	131720989.0	131065.0	38247.3142320081	8865.0	50000	57499.43322	38093.83944249963	57165.52879165446	57833.337648345536	0.008765313059334584
maze512-1-2	512	512	131071	2000	131448410.0	131070.0	38165.37903776111	6357.0	50000	56316.07542	37037.41414297618	55991.430890128584	56640.71994987142	0.008765313059334706
maze512-1-3	512	512	131071	2000	131756038.0	131036.0	38253.11444100518	7265.0	50000	54773.71212	36932.484350415485	54449.98733260963	55097.436907390365	0.008765313059334635
maze512-1-4	512	512	131071	2000	131917291.0	131027.0	38213.76156619275	8888.0	50000	57720.52688	37508.595056409635	57391.752301914756	58049.30145808524	0.008765313059334636
maze512-1-5	512	512	131071	2000	132063507.0	131061.0	38185.9803351667	8158.0	50000	57115.82852	37294.07133921362	56788.934309454635	57442.72273054537	0.008765313059334671
maze512-1-6	512	512	131071	2000	132137576.0	131066.0	38318.122003186116	5984.0	50000	55426.21876	36011.220317843494	55110.569140265434	55741.86837973457	0.008765313059334614
maze512-1-7	512	512	131071	2000	131573451.0	131063.0	38173.54832184388	6350.0	50000	57651.64694	37031.10603958257	57327.05770262964	57976.23617737036	0.008765313059334694
maze512-1-8	512	512	131071	2000	131046123.0	130776.0	37940.28586980754	5674.0	50000	54274.40802	34985.407441025745	53967.749971271034	54581.06606872897	0.008765313059334702
maze512-1-9	512	512	131071	2000	131858794.0	131037.0	38184.7804557312	8671.0	50000	57775.51834	37817.21741392224	57444.03859033405	58106.998089665954	0.008765313059334697
maze512-16-0	512	512	246016	2000	244574855.0	242974.0	70939.02287788254	3920.27539547	50000	104461.60754	69868.29927084869	103849.19002396772	105074.02505603227	0.008765313059334735
maze512-16-1	512	512	246061	2000	246165622.0	243591.0	71211.40237286637	3417.41962313	50000	99277.05248	69425.05965114012	98668.52009799477	99885.58486200523	0.008765313059334699
maze512-16-2	512	512	246136	2000	247741219.0	243100.0	71320.21504108081	2901.64797847	50000	91612.49394	67631.2802450671	91019.68459604839	92205.30328395161	0.008765313059334659
maze512-16-3	512	512	246046	2000	247046297.0	244988.0	71634.19689176006	4243.60338932	50000	106021.29914	71704.02929274878	105392.79087563335	106649.80740436666	0.00876531305933477
maze512-16-4	512	512	246001	2000	244208077.0	243559.0	70764.01765636275	4338.00035894	50000	103114.91502	71751.65036446003	102485.98934203158	103743.84069796842	0.008765313059334742
maze512-16-5	512	512	246016	2000	241956764.0	240775.0	70087.4846250818	2843.6845584	50000	91622.78506	66440.3937180455	91040.41420927587	92205.15591072412	0.008765313059334716
maze512-16-6	512	512	246031	2000	241926148.0	240834.0	70025.19370219923	3968.31110884	50000	105472.1087	71344.17223313368	104846.75469541749	106097.4627045825	0.008765313059334642
maze512-16-7	512	512	246061	2000	245184555.0	244290.0	70851.35555225809	3867.92633253	50000	99137.51776	70677.98734353749	98518.0030745302	99757.0324454698	0.008765313059334617
maze512-16-8	512	512	246031	2000	242264282.0	240807.0	70283.97055262401	5052.94566852	50000	108816.47706	71609.45454853761	108188.79777287388	109444.15634712613	0.008765313059334649
maze512-16-9	512	512	246016	2000	245372768.0	243519.0	71129.69157305227	3018.42467377	50000	99342.51848	67807.0724665507	98748.16826219369	99936.8686978063	0.008765313059334628
maze512-2-0	512	512	174524	2000	175221281.0	174491.0	50830.27477800272	6037.46630433	50000	72082.9729	49644.643846719315	71647.82205496433	72518.12374503566	0.008765313059334586
maze512-2-1	512	512	174515	2000	175569173.0	174428.0	50857.14181204561	5637.78506346	50000	73918.51314	49167.44507362272	73487.54509160205	74349.48118839794	0.008765313059334692
maze512-2-2	512	512	174522	2000	175551356.0	174451.0	50822.34775679214	6038.73838227	50000	68255.51	48338.37619591849	67831.80899986287	68679.21100013712	0.008765313059334817
maze512-2-3	512	512	174510	2000	175671620.0	174459.0	50916.76449855097	6234.67950776	50000	71745.0822	47886.7448881563	71325.33988966282	72164.82451033719	0.008765313059334664
maze512-2-4	512	512	174509	2000	176347575.0	174450.0	50941.22952322945	5212.26320216	50000	70205.32288	45924.30950468465	69802.78193015767	70607.86382984235	0.00876531305933467
maze512-2-5	512	512	174516	2000	175382726.0	173911.0	50814.68659890791	5154.34646328	50000	73748.74096	48047.91684296519	73327.58592702252	74169.89599297747	0.008765313059334822
maze512-2-6	512	512	174513	2000	175372251.0	174428.0	50861.23183554199	6367.43686708	50000	74683.73148	49016.739850530015	74254.08441006215	75113.37854993786	0.008765313059334553
maze512-2-7	512	512	174512	2000	172825153.0	171327.0	49896.8178917268	3868.50375081	50000	67230.90166	46508.65761958766	66823.2387159949	67638.5646040051	0.008765313059334824
maze512-2-8	512	512	174521	2000	175241396.0	174349.0	50784.20797505653	5712.38304321	50000	72634.7246	48925.47728527576	72205.87747501719	73063.57172498282	0.008765313059334773
maze512-2-9	512	512	174527	2000	175064495.0	174447.0	50811.68569712329	5006.31702603	50000	71274.57652	45754.9107625346	70873.52040316447	71675.63263683554	0.008765313059334612
maze512-32-0	512	512	253840	2000	243974947.0	242681.0	70779.21578358507	2431.16774773	50000	96122.75112	70724.48821635019	95502.82883982247	96742.67340017753	0.008765313059334626
maze512-32-1	512	512	253808	2000	248080960.0	243569.0	71094.87496282415	2114.47936419	50000	82611.30216	66474.66523665613	82028.63090868625	83193.97341131377	0.008765313059334647
maze512-32-2	512	512	253824	2000	249651848.0	247272.0	72177.73661233237	2953.00331753	50000	101774.49448	73738.6179755244	101128.15240888184	102420.83655111815	0.008765313059334659
maze512-32-3	512	512	253824	2000	245754898.0	245411.0	71308.74453519988	3135.90995514	50000	103253.46226	75521.60963587902	102591.49170879666	103915.43281120334	0.008765313059334593
maze512-32-4	512	512	253808	2000	249452668.0	245008.0	71797.38797187155	2384.95454429	50000	87840.34318	66128.22152388893	87260.70861628608	88419.97774371391	0.008765313059334623
