map	width	height	cells	scen-count	cost-sum	cost-max	cost-std	max-dist	gen-count	gen-mean	gen-std	gen-95-interval-min	gen-95-interval-max	gen-interval-percent
random512-10-0	512	512	235900	2000	35260771.0	44945.0	10115.211542864032	744.212336884	50000	5171.76862	6210.107867488559	5117.335080409225	5226.2021595907745	0.008765313059334706
random512-10-1	512	512	235895	2000	35902523.0	45065.0	10272.204815331408	723.969696197	50000	5179.58796	6230.233101836804	5124.978016429771	5234.197903570229	0.008765313059334624
random512-10-2	512	512	235907	2000	36238696.0	43744.0	10346.931988947063	736.241774135	50000	5256.58028	6279.154061097332	5201.54152890669	5311.619031093311	0.008765313059334638
random512-10-3	512	512	235907	2000	35720208.0	45049.0	10259.607577543306	714.484414822	50000	5275.52462	6298.0716449016245	5220.320050362318	5330.729189637682	0.008765313059334694
random512-10-4	512	512	235905	2000	36680712.0	44276.0	10484.083762316286	741.555482634	50000	5231.53612	6324.216698094345	5176.102380786131	5286.969859213868	0.008765313059334654
random512-10-5	512	512	235910	2000	36179075.0	52999.0	10281.762336223968	738.869191133	50000	5293.11766	6340.546558041832	5237.540784451477	5348.694535548523	0.008765313059334624
random512-10-6	512	512	235897	2000	36383719.0	45417.0	10375.200919585111	734.07020126	50000	5188.07102	6218.895823843342	5133.560451220625	5242.581588779376	0.008765313059334642
random512-10-7	512	512	235907	2000	36429419.0	42509.0	10387.319182210093	735.141269072	50000	5255.38268	6269.134719665547	5200.431751570987	5310.333608429012	0.008765313059334619
random512-10-8	512	512	235900	2000	36503779.0	43658.0	10362.635468416795	714.342279199	50000	5271.77604	6274.343612117679	5216.779453997951	5326.772626002048	0.008765313059334706
random512-10-9	512	512	235900	2000	35941866.0	46184.0	10139.96045226563	743.697618258	50000	5172.11448	6189.365356336167	5117.862755013113	5226.366204986887	0.00876531305933467
random512-15-0	512	512	222687	2000	49849323.0	61458.0	14163.524729173798	769.300648638	50000	8339.09218	8438.883847460093	8265.12272120565	8413.06163879435	0.00876531305933468
random512-15-1	512	512	222683	2000	50721449.0	63226.0	14367.937625790271	777.543289325	50000	8478.44214	8644.938485655766	8402.666547794535	8554.217732205463	0.008765313059334732
random512-15-2	512	512	222694	2000	48641183.0	66707.0	13863.510634778902	741.229580826	50000	8417.55164	8401.902516197943	8343.906334151512	8491.196945848487	0.008765313059334786
random512-15-3	512	512	222695	2000	50348549.0	61303.0	14414.383131932831	755.401153702	50000	8558.62524	8641.620368048745	8482.87873213413	8634.37174786587	0.00876531305933462
random512-15-4	512	512	222681	2000	48994199.0	57945.0	14002.721972980815	739.087445203	50000	8314.20102	8334.098545343159	8241.150037182722	8387.252002817278	0.00876531305933462
random512-15-5	512	512	222691	2000	49346259.0	58532.0	14100.07706016991	749.815367264	50000	8316.40494	8346.954947922242	8243.241266789299	8389.568613210702	0.008765313059334763
random512-15-6	512	512	222703	2000	49762085.0	60683.0	14131.197997929748	755.229580826	50000	8476.51826	8564.377741411607	8401.44880793813	8551.587712061872	0.00876531305933473
random512-15-7	512	512	222675	2000	49101325.0	60387.0	14056.342451597917	739.430590953	50000	8354.654	8492.594830119002	8280.21374762792	8429.09425237208	0.008765313059334656
random512-15-8	512	512	222700	2000	49020148.0	63264.0	13991.648335758156	736.016377391	50000	8337.7451	8411.966961252641	8264.011576139841	8411.47862386016	0.008765313059334609
random512-15-9	512	512	222679	2000	49655293.0	58208.0	14185.631491426026	759.957502888	50000	8396.00678	8507.283105716773	8321.437780294003	8470.575779705996	0.008765313059334647
random512-20-0	512	512	209281	2000	61069442.0	73060.0	17415.63291397011	769.974746831	50000	11698.44318	10707.951121857603	11604.584636192865	11792.301723807135	0.008765313059334597
random512-20-1	512	512	209241	2000	61312720.0	72522.0	17488.295799373936	766.104689145	50000	11647.14658	10728.038037755754	11553.111968086621	11741.18119191338	0.008765313059334633
random512-20-2	512	512	209231	2000	62358459.0	72546.0	17701.987766853465	769.347329833	50000	11882.45932	10873.721711904582	11787.147745075072	11977.770894924928	0.008765313059334673
random512-20-3	512	512	209233	2000	63397417.0	76124.0	18162.913993561928	771.93311627	50000	11815.41574	11053.38636137814	11718.52934817674	11912.30213182326	0.008765313059334716
random512-20-4	512	512	209309	2000	61905813.0	74629.0	17673.042785716265	756.690475583	50000	11750.54834	10820.517282085142	11655.703118558582	11845.393561441417	0.00876531305933467
random512-20-5	512	512	209204	2000	62730766.0	73500.0	17979.00937855896	769.58997052	50000	11761.94812	10933.172967137603	11666.115436211183	11857.780803788815	0.008765313059334688
random512-20-6	512	512	209264	2000	62972137.0	75093.0	17878.59402069435	774.246824769	50000	11897.56116	10970.282832889015	11801.403196620282	11993.719123379717	0.008765313059334697
