map	width	height	cells	scen-count	cost-sum	cost-max	cost-std	max-dist	gen-count	gen-mean	gen-std	gen-95-interval-min	gen-95-interval-max	gen-interval-percent
16room_000	512	512	231854	2000	96830875.0	139800.0	28155.26271511409	847.595021154	50000	20361.30042	17546.765449478367	20207.497527656604	20515.103312343395	0.00876531305933471
16room_001	512	512	231350	2000	104436888.0	124111.0	30101.785612133775	857.737156777	50000	22120.5583	19126.485140768575	21952.90867001645	22288.20792998355	0.008765313059334652
16room_002	512	512	231387	2000	107984415.0	156673.0	32013.51333865816	864.364573775	50000	21386.24892	18935.476955332255	21220.273536558696	21552.224303441308	0.008765313059334742
16room_003	512	512	231378	2000	106333134.0	161408.0	31162.146466241873	831.423448278	50000	21676.18592	18935.6029740601	21510.209431965093	21842.162408034907	0.008765313059334735
16room_004	512	512	231586	2000	101047965.0	127327.0	29271.336714594938	825.636651714	50000	20837.74858	18157.61236019229	20678.59142325287	20996.90573674713	0.008765313059334619
16room_005	512	512	231151	2000	102367191.0	129723.0	29330.872243472062	842.364573775	50000	21867.20194	18997.92865966709	21700.67914781911	22033.724732180886	0.008765313059334617
16room_006	512	512	231600	2000	105319592.0	126718.0	30269.77911578451	827.15137034	50000	20924.18446	18446.892842598572	20762.491669262625	21085.877250737376	0.00876531305933462
16room_007	512	512	231388	2000	104723469.0	155452.0	30435.799416049675	850.938166904	50000	21475.28326	18820.36931768194	21310.31683103822	21640.24968896178	0.008765313059334692
16room_008	512	512	231129	2000	113326911.0	154861.0	32677.46439811418	825.352380466	50000	22930.2222	20244.4360084668	22752.77338067612	23107.67101932388	0.008765313059334687
16room_009	512	512	229810	2000	99681643.0	135917.0	28797.30046278015	839.879292401	50000	20623.0371	17973.37437874045	20465.494846837715	20780.579353162288	0.008765313059334747
32room_000	512	512	240671	2000	111415795.0	168943.0	32977.315583276235	820.021428025	50000	21498.25778	19318.388270528405	21328.92605900704	21667.58950099296	0.008765313059334609
32room_001	512	512	245463	2000	119875412.0	142652.0	34487.27192776436	840.825468532	50000	24142.47902	21442.852511678568	23954.525704849995	24330.432335150002	0.008765313059334682
32room_002	512	512	246420	2000	159577809.0	196957.0	45833.10102258388	919.661038332	50000	25627.35178	24825.124436392074	25409.751792578085	25844.951767421917	0.008765313059334683
32room_003	512	512	243542	2000	129490010.0	180035.0	37378.44594007321	864.364573775	50000	24090.33342	22003.929582674344	23897.462088672302	24283.204751327696	0.008765313059334706
32room_004	512	512	235829	2000	121720347.0	165037.0	35111.63328339196	855.761543395	50000	21951.5178	20204.290370761435	21774.420869758575	22128.61473024143	0.008765313059334767
32room_005	512	512	244503	2000	128725897.0	162010.0	37121.71328241529	805.879292401	50000	22728.28706	20808.08103650542	22545.897715551022	22910.676404448976	0.008765313059334753
32room_006	512	512	245463	2000	128700942.0	169171.0	37073.89955694112	871.340187158	50000	23564.20104	21493.24696786465	23375.80600166507	23752.59607833493	0.008765313059334668
32room_007	512	512	243539	2000	131619396.0	170858.0	37950.35955817541	839.482322781	50000	24596.1669	22404.132233235112	24399.787667152963	24792.546132847037	0.008765313059334699
32room_008	512	512	246432	2000	121133509.0	150623.0	34578.99740037628	851.126983722	50000	26192.72038	22355.107647563513	25996.770862993977	26388.66989700602	0.008765313059334713
32room_009	512	512	245464	2000	153815164.0	186588.0	44001.054192999465	848.536146651	50000	28266.69002	26557.60781565035	28033.90427338879	28499.475766611205	0.008765313059334624
64room_000	512	512	246178	2000	142752173.0	181719.0	41958.547113717104	879.719912835	50000	25584.26398	23419.468900908378	25378.985003400187	25789.542956599813	0.008765313059334619
64room_001	512	512	250139	2000	172605263.0	184248.0	48617.56470900931	853.75440072	50000	31638.84272	28468.497221089543	31389.30742952835	31888.37801047165	0.00876531305933468
64room_002	512	512	254119	2000	170600846.0	224113.0	49871.39596236575	927.761543395	50000	31082.0241	29013.37814317249	30827.712757666235	31336.335442333762	0.008765313059334626
64room_003	512	512	242206	2000	193878269.0	209727.0	55427.464472573614	893.614357137	50000	29255.6409	29670.819461006246	28995.56687869728	29515.71492130272	0.0087653130593347
64room_004	512	512	234260	2000	181691549.0	204352.0	51701.6128435337	931.116882454	50000	35059.83234	33122.940643656475	34769.49939581259	35350.16528418741	0.008765313059334647
64room_005	512	512	250148	2000	160506603.0	191473.0	46032.95281498459	934.116882454	50000	34599.90236	31413.115017603497	34324.55657270182	34875.24814729818	0.00876531305933466
64room_006	512	512	254119	2000	199708057.0	212468.0	56016.05320779649	945.418397644	50000	29734.5385	32037.220518491267	29453.722232604483	30015.354767395515	0.008765313059334657
64room_007	512	512	254117	2000	155545640.0	185892.0	44877.79091905706	861.104689145	50000	30114.3175	27013.695556848448	29877.534001554664	30351.100998445338	0.008765313059334742
64room_008	512	512	254122	2000	143182606.0	192998.0	41521.35820428073	842.447834896	50000	26147.45156	24261.188693936114	25934.79464590606	26360.108474093944	0.008765313059334747
64room_009	512	512	254117	2000	193975335.0	218347.0	55536.22535545554	943.548339959	50000	30664.75614	29753.310058554365	30403.95906278532	30925.55321721468	0.008765313059334666
8room_000	512	512	206642	2000	96270516.0	114212.0	27461.496277122922	848.825468532	50000	20534.60496	17807.257916354876	20378.518769634833	20690.691150365168	0.008765313059334753
8room_001	512	512	206738	2000	97555373.0	109604.0	27821.99431746793	852.440692221	50000	20167.78876	17667.521078537808	20012.92740676422	20322.650113235777	0.00876531305933465
8room_002	512	512	206983	2000	97516474.0	123076.0	27768.444707704304	851.724963469	50000	20561.66336	17860.01361635633	20405.114749408654	20718.211970591343	0.008765313059334727
8room_003	512	512	206787	2000	103558014.0	140236.0	30155.237757427	855.381817718	50000	20916.04254	18439.86762570953	20754.411327487964	21077.673752512033	0.008765313059334697
8room_004	512	512	207111	2000	98257816.0	112467.0	27958.249858289342	840.783837972	50000	20148.20128	17754.060316813346	19992.58138324882	20303.821176751182	0.008765313059334754
8room_005	512	512	206527	2000	98188503.0	113293.0	27892.18705166821	848.269119346	50000	20566.14522	17872.922582284384	20409.48345828102	20722.806981718975	0.008765313059334779
8room_006	512	512	206592	2000	100598358.0	138553.0	28865.18079688674	864.79603128	50000	20787.44314	18222.20101261993	20627.719843494262	20947.166436505737	0.008765313059334584
8room_007	512	512	206748	2000	98849047.0	132415.0	28329.90552392379	861.440692221	50000	20281.67152	17767.070081505866	20125.937588588462	20437.405451411538	0.008765313059334685
8room_008	512	512	207062	2000	94894145.0	118946.0	27053.55252380441	841.724963469	50000	20568.39264	17731.09357322311	20412.974053946342	20723.811226053655	0.008765313059334602
8room_009	512	512	206732	2000	98000721.0	122012.0	28069.11384022552	846.026478659	50000	20401.1363	17923.209866696376	20244.033754490247	20558.23884550975	0.008765313059334768
