map	width	height	cells	scen-count	cost-sum	cost-max	cost-std	max-dist	gen-count	gen-mean	gen-std	gen-95-interval-min	gen-95-interval-max	gen-interval-percent
AcrosstheCape	768	768	392287	2000	232025000.0	276564.0	70095.45277992717	1230.51385207	50000	41742.3906	38394.41845094612	41405.851502546364	42078.929697453634	0.008765313059334588
Aftershock	512	512	166076	2000	75427472.0	81790.0	21510.730837940024	771.104689145	50000	14389.30396	15175.043646730257	14256.289951747342	14522.317968252657	0.00876531305933463
Archipelago	512	512	131770	2000	98643295.0	109694.0	28271.298055346586	951.087445203	50000	14796.16094	16344.694239638695	14652.894578130463	14939.427301869537	0.008765313059334652
ArcticStation	768	768	400071	2000	342165339.0	374383.0	98663.83036218627	1802.62568389	50000	81514.5104	70740.84884616392	80894.44471378029	82134.5760862197	0.008765313059334754
Aurora	1024	768	493772	2000	283210364.0	325493.0	80244.11190211326	1281.923015	50000	54799.0517	52648.17338733631	54337.57397825787	55260.52942174214	0.00876531305933469
Backwoods	768	512	208734	2000	83627825.0	93757.0	24323.848619386772	1018.04581464	50000	28628.32078	19509.969213012104	28457.309792069966	28799.33176793003	0.008765313059334682
BigGameHunters	512	512	179070	2000	62406076.0	73284.0	18015.220166696716	730.300648638	50000	16014.91632	13003.049539471796	15900.940520060492	16128.892119939508	0.008765313059334673
BlackLotus	768	768	273592	2000	256912506.0	263500.0	73909.61196867422	1632.0285707	50000	62387.2256	58998.957105157584	61870.08127079903	62904.36992920096	0.008765313059334682
BlastFurnace	768	768	384136	2000	236481837.0	300040.0	70237.1353497981	1361.53109602	50000	43288.3636	42645.372828861924	42914.563556622976	43662.16364337702	0.008765313059334714
BrokenSteppes	768	768	435789	2000	185941854.0	296496.0	54943.34034161621	1198.63369312	50000	30246.8879	31095.09695570949	29974.329640572843	30519.44615942716	0.008765313059334671
Brushfire	512	512	104896	2000	58824661.0	59085.0	17012.975742687395	868.898628385	50000	19190.3057	15796.188498269054	19051.84716266841	19328.76423733159	0.008765313059334647
