map	width	height	cells	scen-count	cost-sum	cost-max	cost-std	max-dist	gen-count	gen-mean	gen-std	gen-95-interval-min	gen-95-interval-max	gen-interval-percent
Berlin_0_1024	1024	1024	794748	2000	314867148.0	512483.0	96669.82814860345	1476.72409692	50000	36879.22966	51220.52903414017	36430.26568795102	37328.19363204898	0.008765313059334671
Berlin_0_256	256	256	48147	2000	20205018.0	30520.0	6058.943784680544	368.232539419	50000	2420.4486	3241.9445646707227	2392.0319409696526	2448.8652590303477	0.008765313059334734
Berlin_0_512	512	512	196667	2000	80115583.0	127815.0	24283.136675767975	733.116882454	50000	9356.45946	12934.827176502842	9243.081650429562	9469.837269570438	0.008765313059334746
Berlin_1_1024	1024	1024	799311	2000	334127747.0	474144.0	98911.48398423966	1640.16774773	50000	47738.76836	54495.59955706206	47261.097369526215	48216.43935047379	0.008765313059334643
Berlin_1_256	256	256	47540	2000	19856967.0	27244.0	5805.906179290856	400.646752982	50000	3007.1205	3317.9252727962016	2978.037846276463	3036.203153723537	0.008765313059334666
Berlin_1_512	512	512	196665	2000	82615296.0	112232.0	24325.94875120179	811.962553522	50000	12204.79302	13739.864686820583	12084.35880462712	12325.227235372879	0.008765313059334647
Berlin_2_1024	1024	1024	795261	2000	454728046.0	517115.0	128797.25753181033	1538.82669402	50000	46316.84854	65826.26442190382	45739.860724815466	46893.83635518453	0.00876531305933471
Berlin_2_256	256	256	47938	2000	27077161.0	31935.0	7797.69018104206	398.01428535	50000	3043.99226	4125.848846237594	3007.8279032272326	3080.1566167727674	0.008765313059334704
Berlin_2_512	512	512	196483	2000	115365538.0	130040.0	32268.19340776051	767.785930013	50000	11658.38308	16443.51341402955	11514.250537130662	11802.515622869338	0.008765313059334673
Boston_0_1024	1024	1024	796896	2000	427454533.0	514769.0	123106.04605113219	1529.84603	50000	46105.64224	62939.247968341086	45553.960027838395	46657.32445216161	0.008765313059334714
Boston_0_256	256	256	47768	2000	26386015.0	32788.0	7636.582373381679	396.298556597	50000	3132.95742	3933.1849297747162	3098.4818227702676	3167.4330172297327	0.00876531305933465
Boston_0_512	512	512	196725	2000	104684131.0	137026.0	30814.116939727635	781.567675943	50000	11718.9865	15701.341171583965	11581.359329179646	11856.613670820356	0.008765313059334723
