map	width	height	cells	scen-count	cost-sum	cost-max	cost-std	max-dist	gen-count	gen-mean	gen-std	gen-95-interval-min	gen-95-interval-max	gen-interval-percent
battleground	512	512	90166	2000	25166240.0	51723.0	7904.351854681066	519.15137034	50000	2748.47164	3967.214097887296	2713.697766458612	2783.2455135413884	0.008765313059334685
blastedlands	512	512	131403	2000	43205949.0	78496.0	13236.267087885835	552.950360213	50000	5649.19656	6784.5617822763	5589.727752007951	5708.66536799205	0.008765313059334727
bloodvenomfalls	512	512	91112	2000	21836840.0	26015.0	6517.43836062912	456.8355698	50000	1508.4676	3400.8551635419935	1478.6580398220995	1538.2771601779004	0.008765313059334702
bootybay	512	512	67985	2000	52675256.0	61098.0	15471.893438348648	989.570634536	50000	8572.56192	12407.634353203914	8463.805120568411	8681.318719431589	0.008765313059334744
darkforest	512	512	99759	2000	32148271.0	47128.0	9623.829626720319	587.352380466	50000	5129.07248	5351.732494229009	5082.162869278269	5175.982090721731	0.008765313059334633
deadwaterdrop	512	512	74204	2000	47265024.0	62611.0	13653.516529519273	517.320851174	50000	8965.93596	10420.639823637455	8874.595789667248	9057.276130332753	0.008765313059334704
divideandconquer	512	512	115600	2000	72864950.0	80328.0	21006.59775880842	769.818325857	50000	14363.38306	15691.611950033848	14225.841168852356	14500.924951147645	0.008765313059334723
dragonfire	512	512	109024	2000	46213691.0	66759.0	13688.257817838972	578.79603128	50000	6665.07896	7776.884358363915	6596.912133972697	6733.2457860273025	0.008765313059334664
drywatergulch	512	512	129805	2000	118886877.0	127482.0	34562.211645411495	951.080302528	50000	26639.43314	27722.472778666222	26396.43698731611	26882.429292683893	0.008765313059334652
duskwood	512	512	127229	2000	39602614.0	72420.0	11855.002790921266	605.276262021	50000	6311.22124	7232.290580363379	6247.827948927037	6374.614531072963	0.008765313059334734
dustwallowkeys	512	512	117945	2000	18223809.0	19497.0	5144.035378414475	330.095454429	50000	2801.48672	3449.1687720179248	2771.253675918782	2831.719764081218	0.00876531305933464
frostsabre	512	512	91381	2000	36417899.0	61609.0	10677.088759626839	541.210244843	50000	4166.76398	5422.77599466496	4119.231650756116	4214.296309243883	0.008765313059334682
gardenofwar	512	512	119135	2000	45743953.0	59541.0	13158.23187833182	551.920922961	50000	7421.07332	7815.491898153576	7352.568086799991	7489.57855320001	0.008765313059334635
gnollwood	512	512	74150	2000	10410722.0	18981.0	3166.0309600000755	379.043722601	50000	1057.57724	1625.1373621309622	1043.332402256501	1071.8220777434992	0.008765313059334626
golemsinthemist	512	512	110831	2000	39136138.0	61535.0	11308.911705210145	589.465078839	50000	5396.73574	6487.396401567168	5339.871679600263	5453.599800399737	0.008765313059334656
harvestmoon	512	512	114594	2000	59409992.0	88444.0	17650.316995594836	613.251875403	50000	9415.75258	9907.349175708068	9328.911562886778	9502.593597113222	0.0087653130593346
heart2heart	512	512	105833	2000	68172253.0	90105.0	19911.54308624768	857.950360213	50000	14990.7562	17823.11063131578	14834.53105562536	15146.981344374639	0.008765313059334685
hillsofglory	512	512	80943	2000	51291702.0	61100.0	14770.478122992465	588.168614282	50000	5758.19582	7871.282721510804	5689.2015627674255	5827.190077232574	0.008765313059334728
icecrown	512	512	82391	2000	5669605.0	9840.0	1711.3634723499708	260.923881554	50000	622.1527	979.1153131387078	613.5704477591507	630.7349522408492	0.008765313059334642
isleofdread	512	512	83111	2000	61229011.0	68285.0	17155.11014155752	533.144227665	50000	9517.15962	10365.877989996865	9426.299454282811	9608.01978571719	0.008765313059334673
losttemple	512	512	86860	2000	31155777.0	56965.0	10226.020313057652	464.01428535	50000	3378.24374	4756.348681143006	3336.552854790428	3419.934625209572	0.00876531305933469
moonglade	512	512	102312	2000	85259806.0	88640.0	24694.670861475173	1096.15642097	50000	20130.30334	22651.516187709927	19931.755709346133	20328.850970653864	0.008765313059334727
mysticisles	512	512	53218	2000	4943966.0	9547.0	2067.859767419203	303.634559673	50000	241.00524	790.0436281956474	234.08026026833252	247.93021973166745	0.008765313059334683
nighthaven	512	512	36462	2000	214789.0	1804.0	181.60166538264454	146.325901808	50000	40.29268	46.68501578041503	39.88347122150468	40.70188877849532	0.00876531305933472
petrifiedforest	512	512	105257	2000	48938583.0	67417.0	14499.527023580034	604.790980646	50000	6773.87228	7966.818730851581	6704.040619737114	6843.703940262885	0.008765313059334697
plaguelands	512	512	55185	2000	20536237.0	29695.0	5952.993909492748	444.386868352	50000	1943.99316	3355.7683769821206	1914.5787996211363	1973.4075203788636	0.008765313059334657
plainsofsnow	512	512	96157	2000	34610337.0	50199.0	10193.671676933085	580.801081914	50000	5533.1745	6705.570253558586	5474.398077486197	5591.950922513804	0.008765313059334716
plunderisle	512	512	115045	2000	71069541.0	76486.0	20145.04846536314	665.707719526	50000	12242.4664	13812.60472472991	12121.394595422897	12363.538204577102	0.008765313059334662
riverrun	512	512	97227	2000	13618962.0	24985.0	4500.898436050185	374.279220614	50000	1261.0498	2014.5021696488589	1243.3920578243187	1278.7075421756813	0.008765313059334723
scorchedbasin	512	512	80848	2000	28146763.0	73859.0	10733.319439947632	558.239682094	50000	3199.87496	4454.226088043241	3160.8322739012456	3238.9176460987546	0.008765313059334654
stromguarde	512	512	76556	2000	42993041.0	64730.0	12801.304596937758	466.965512115	50000	2476.54582	5562.451842360573	2427.7891882242366	2525.302451775763	0.008765313059334657
swampofsorrows	512	512	44563	2000	2261889.0	3728.0	855.5552456853677	262.622366364	50000	107.80218	317.161769018978	105.02215780409627	110.58220219590375	0.008765313059334688
thecrucible	512	512	77631	2000	26305045.0	47494.0	7714.3458074222835	491.470129473	50000	5195.14638	4762.862571184781	5153.398398504978	5236.894361495022	0.00876531305933462
theglaive	512	512	79776	2000	22720344.0	30537.0	6727.022203725509	515.261976671	50000	3060.66354	4489.381659571245	3021.3127043110226	3100.0143756889775	0.008765313059334682
timbermawhold	512	512	78064	2000	4753912.0	9802.0	1497.839054459457	253.350288425	50000	255.62332	646.0054989488693	249.96087956366148	261.28576043633853	0.00876531305933466
tranquilpaths	512	512	71032	2000	36388003.0	46414.0	10408.07344913062	531.997041407	50000	6122.0209	6158.059558417992	6068.043580132438	6175.9982198675625	0.008765313059334695
